OBJECTID,Shape,admin2p3,admin3_clean,admin3Name_en,admin3Name_fr,admin3Pcode,admin2Name_en,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Name_ht,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_ht,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,
6,Polygon,Carrefour - Thor,Thor,10e Section Thor,10e Section Thor,HT0113-10,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.148132,0.001048
10,Polygon,Carrefour - Riviere Froide,Riviere Froide,11e Section Riviere Froide,11e Section Rivière Froide,HT0113-11,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.187121,0.001748
13,Polygon,Carrefour - Malanga,Malanga,12e Section Malanga,12e Section Malanga,HT0113-12,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.238644,0.001855
14,Polygon,Carrefour - Corail Thor,Corail Thor,13e Section Corail Thor,13e Section Corail Thor,HT0113-13,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.123195,0.000479
120,Polygon,Carrefour - Morne Chandelle,Morne Chandelle,1re Section Morne Chandelle,1re Section Morne Chandelle,HT0113-01,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.096083,0.00037
268,Polygon,Carrefour - Platon Dufrene,Platon Dufrene,2e Section Platon Dufrene,2e Section Platon Dufrene,HT0113-02,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.193298,0.001087
380,Polygon,Carrefour - Taifer,Taifer,3e Section Taifer,3e Section Taïfer,HT0113-03,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.199527,0.00088
442,Polygon,Carrefour - Procy,Procy,4e Section Procy,4e Section Procy,HT0113-04,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.210079,0.001491
466,Polygon,Carrefour - Coupeau,Coupeau,5e Section Coupeau,5e Section Coupeau,HT0113-05,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.173122,0.001104
502,Polygon,Carrefour - Bouvier,Bouvier,6e Section Bouvier,6e Section Bouvier,HT0113-06,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.267804,0.001239
542,Polygon,Carrefour - Lavalle,Lavalle,7e Section Lavalle,7e Section Lavalle,HT0113-07,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.163565,0.000829
552,Polygon,Carrefour - Berly,Berly,8e Section Berly,8e Section Berly,HT0113-08,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.205574,0.001438
563,Polygon,Carrefour - Bizoton,Bizoton,9e Section Bizoton,9e Section Bizoton,HT0113-09,Carrefour,Carrefour,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.10288,0.000498
73,Polygon,Cite Soleil - 1 des Varreux,1 des Varreux,1re Section des Varreux,1re Section des Varreux,HT0117-02,Cite Soleil,Cité Soleil,HT0117,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,9/6/2017,11/29/2018,<Null>,0.089951,0.000435
