name,ADM3_EN,ADM2_EN,ADM1_EN,ADM0_EN,longitude,latitude,osm_id
Debussy,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.324311,18.525813,616737464
Deprez,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.330183,18.526468,614092729
Haut-Turgeau,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.318978,18.527756,613227843
Saint Gérard,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.337688,18.52807,613781699
Pacot,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.327384,18.529242,616735117
Bois Patate,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.31948,18.532372,613205101
Bas Peu De Choses,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.338584,18.533505,616735602
Turgeau,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.330012,18.533769,616734724
Canape Vert,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.314963,18.534142,618083375
Bourdon,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.315371,18.538669,618080986
Morne à Tuf,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.343699,18.538798,613537311
Bois Verna,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.331758,18.539148,616733015
Cité de Dieu,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.352167,18.539579,1402396224
Saint Antoine,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.329366,18.543771,613336226
Champs de Mars,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.336933,18.544353,2790426832
Nazon,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.318785,18.544485,613015945
Poste Marchand,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.331315,18.545913,613649017
Port-au-Prince,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.339593,18.547327,289141966
Fort National,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.330683,18.547639,613336224
Bel Air,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.336168,18.54997,616730335
Cité Numéro Deux,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.321107,18.550724,613015937
Saint-Martin,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.332821,18.551638,613016021
Portail Saint Joseph,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.344215,18.554324,616730180
Croix Des Bossales,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.339,18.556053,616730099
La Saline,1re Section Turgeau,Port-au-Prince,West,Haiti,-72.342538,18.559171,613013099
Morne L'Hopital,2e Section Morne l'Hopital,Port-au-Prince,West,Haiti,-72.329436,18.507004,614612829
Campêche,2e Section Morne l'Hopital,Port-au-Prince,West,Haiti,-72.335207,18.524959,1986262513
Baillergeau,2e Section Morne l'Hopital,Port-au-Prince,West,Haiti,-72.334166,18.526742,1612250993
Carrefour Feuilles,3e Section Martissant,Port-au-Prince,West,Haiti,-72.348253,18.524228,613774529
Martissant,3e Section Martissant,Port-au-Prince,West,Haiti,-72.357049,18.527369,613530600
Savane Salée,3e Section Martissant,Port-au-Prince,West,Haiti,-72.363937,18.529729,613016206
Bolosse,3e Section Martissant,Port-au-Prince,West,Haiti,-72.349467,18.53037,616736512
Portail Leogane,3e Section Martissant,Port-au-Prince,West,Haiti,-72.346954,18.535817,617170448
Cité L'Eternel,3e Section Martissant,Port-au-Prince,West,Haiti,-72.355715,18.53669,617173154
Jacquet,1re Section St Martin,Delmas,West,Haiti,-72.282621,18.526716,614548781
Musseau,1re Section St Martin,Delmas,West,Haiti,-72.290343,18.529553,613677851
 ,1re Section St Martin,Delmas,West,Haiti,-72.286859,18.531131,613015734
Carrefour Puits Blain,1re Section St Martin,Delmas,West,Haiti,-72.272783,18.543133,1706900493
Dos Morne,1re Section St Martin,Delmas,West,Haiti,-72.2773,18.547626,615725678
Bois Caradeux,1re Section St Martin,Delmas,West,Haiti,-72.293982,18.549458,613705644
Cité Saint-Georges,1re Section St Martin,Delmas,West,Haiti,-72.30173,18.550278,616528161
Delmas,1re Section St Martin,Delmas,West,Haiti,-72.292007,18.551846,613015229
Zone Predailler,1re Section St Martin,Delmas,West,Haiti,-72.286996,18.553793,613186911
Village W. Lamothe,1re Section St Martin,Delmas,West,Haiti,-72.306312,18.555373,613014909
Cité Numéro Un,1re Section St Martin,Delmas,West,Haiti,-72.327654,18.556149,613015935
