sub_commune_id,name,commune_id
1,10e Section Thor,1
2,11e Section Riviere Froide,1
3,12e Section Malanga,1
4,13e Section Corail Thor,1
5,1re Section Morne Chandelle,1
6,2e Section Platon Dufrene,1
7,3e Section Taifer,1
8,4e Section Procy,1
9,5e Section Coupeau,1
10,6e Section Bouvier,1
16,7e Section Lavalle,1
17,8e Section Berly,1
22,9e Section Bizoton,1
11,1re Section des Varreux,8
21,2e Section des Varreux,8
12,1re Section St Martin,2
13,1re Section Morne a Bateau,3
14,2e Section Morne Chandelle,3
15,3e Section Petit Boucan,3
18,1re Section Nouvelle Touraine,4
19,2e Section Bongars,4
20,3e Section Sourcailles,4
23,4e Section Belle Fontaine,4
24,5e Section Grand Fond,4
29,1re Section Montagne Noire,5
30,2e Section Aux Cadets,5
25,3e Section Etang du Jonc,5
26,4e Section Bellevue la Montagne,5
27,5e Section Bellevue Chardonniere,5
28,1re Section Turgeau,6
31,2e Section Morne l'Hopital,6
32,3e Section Martissant,6
33,3e Section Bellevue,7
34,4e Section Bellevue,7
